title,categories,address,price,date_posted,PIDs,beds,newly_built,serviced,furnished,baths,toilets,price_per_day_₦,price_per_month_₦,price_per_year_₦,state
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Vgc Lekki Lagos,"  150,000/day ",2023-02-03, 0HZBK,4,True,True,True,3,4,150000,4500000,54750000,Lagos
4 Bedrooms Apartment,4 BEDROOM HOUSE FOR SHORTLET,Ikeja Lagos,"  160,000/day ",2023-01-16, 0HWYW,4,False,True,True,4,5,160000,4800000,58400000,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Asokoro Abuja,"  200,000/day ",2023-03-02, 0JBUE,4,False,False,False,5,0,200000,6000000,73000000,Abuja
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikota Lekki Lagos,"  140,000/day ",2023-02-17, 8JAQR,4,True,True,True,4,4,140000,4200000,51100000,Lagos
Haap Flex 4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,"No 4, Isujeh Street, Off Spa Road Ikate Lekki Lagos","  110,000/day ",2022-05-20, 2GQEP,4,False,False,True,4,1,110000,3300000,40150000,Lagos
Newly Built Shortlet Apartment,4 BEDROOM HOUSE FOR SHORTLET,"Off Adelabu Road, Surulere Adelabu Surulere Lagos","  90,000/day ",2022-01-07, 6FWNK,4,True,True,True,4,5,90000,2700000,32850000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lokogoma Abuja,"  70,000/day ",2023-01-11, 2HWEY,4,False,True,True,4,5,70000,2100000,25550000,Abuja
4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Chevron Lekki Lagos,"  130,000/day ",2023-01-13, 0HWQR,4,False,False,False,3,3,130000,3900000,47450000,Lagos
4bedroom Semi Detached Penthouse,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase1 Lekki Phase 1 Lekki Lagos,"  90,000/day ",2021-01-15, 8EEPV,4,False,False,True,4,5,90000,2700000,32850000,Lagos
4 Bedrooms Duplex,4 BEDROOM HOUSE FOR SHORTLET,Anthony Village Maryland Lagos,"  75,000/day ",2022-06-14, 3GUCN,4,False,False,False,8,8,75000,2250000,27375000,Lagos
