title,categories,address,agent,price,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_per_day_₦,price_per_month_₦,price_per_year_₦,date_posted,date_updated,state
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikeja Lagos,dolly-real-estate,"  75,000/day ", 8FYVP,False,True,True,2,2,2,75000,2250000,27375000,2022-01-27,2023-08-09,Lagos
Executive Three Bedroom Apartment With Good Facilities,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Life Camp Abuja,kennedy-otunku,"  90,000/day ", 6FRAS,False,True,True,2,2,3,90000,2700000,32850000,2021-11-11,2023-08-11,Abuja
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Phase 1 Lekki Phase 1 Lekki Lagos,joeetoniru,"  70,000/day ", 9FBZG,False,True,True,2,2,3,70000,2100000,25550000,2021-07-28,2023-05-12,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Oniru Victoria Island Lagos,franklin15,"  75,000/day ", 4JQKR,True,True,True,2,2,3,75000,2250000,27375000,2023-06-13,2023-08-11,Lagos
Tastefully Finished 2 Bedroom Terrace House,2 BEDROOM HOUSE FOR SHORTLET,Banana Island Ikoyi Lagos,provident-homes-realtor,"  80,000 ", Z0692,False,False,False,3,3,4,80000,960000,29200000,2018-09-19,2023-08-11,Lagos
Luxury 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,"Prime Water Garden Estate, Ikate Lekki Phase 1 Lekki Lagos",kamcourts-investment-limited,"  80,000 ", 4FXDY,False,False,False,3,3,3,80000,960000,29200000,2022-01-13,2023-08-09,Lagos
Furnished 3bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 (right) Lekki Phase 1 Lekki Lagos,franklin15,"  85,000/day ", 5GNQW,False,False,False,3,3,3,85000,2550000,31025000,2022-05-10,2023-08-09,Lagos
Luxury 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Victoria Island Lagos,kim-thompson-,"  170,000/day ", 8FZGJ,True,True,True,3,3,4,170000,5100000,62050000,2022-01-31,2023-08-11,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikeja Gra Ikeja Lagos,homplug,"  80,000/day ", 1FXEQ,False,True,True,3,3,4,80000,2400000,29200000,2022-01-14,2023-08-09,Lagos
Furnish 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,"New Road, Igbo Efon Lekki Lagos",hyggehoms,"  1,350,000/month ", 6JSUV,False,True,True,2,2,2,45000.0,1350000,16200000,2023-07-01,2023-08-10,Lagos
Luxury 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Magodo Gra Phase 2 Estate Near Shangisha Magodo Gra Phase 2 Kosofe Ikosi Lagos,franklin15,"  50,000/day ", 9EMTW,False,True,True,2,3,3,50000,1500000,18250000,2021-04-04,2023-07-28,Lagos
2bed Serviced Apartment In Magodo Gra Phase 2 Estate,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,firstchoice-estates-firm-nig-ltd,"  70,000/day ", 2GERU,True,True,True,2,2,2,70000,2100000,25550000,2022-03-10,2023-08-11,Lagos
New 2 Bedroom Apartment In Lekki Ikate,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Onireke Gra Jericho Ibadan Oyo,franklin15,"  40,000/day ", 1GFGS,False,True,True,2,3,3,40000,1200000,14600000,2022-03-15,2023-08-10,Oyo
Luxury 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,cnl-world1,"  80,000/day ", 3GGAK,True,True,True,2,2,2,80000,2400000,29200000,2022-03-20,2023-08-11,Lagos
Newly Built 2 Bedroom At Lekki Ikate,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Victoria Island Lagos,bright-innocent1,"  125,000/day ", 8GPLB,False,False,False,3,0,0,125000,3750000,45625000,2022-05-15,2023-08-09,Lagos
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Gerard Road Ikoyi Lagos,barbsconsult-homes-and-properties,"  300,000/day ", 6EATL,False,True,True,3,3,0,300000,9000000,109500000,2020-11-19,2023-08-02,Lagos
3bedroom Flat Penthouse Mansion @ikoyi,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Off Freedom Way Lekki Phase 1 Lekki Phase 1 Lekki Lagos,prince-ademola-osinuga,"  80,000/day ", 8FHXR,True,True,True,3,4,4,80000,2400000,29200000,2021-09-11,2023-08-09,Lagos
Luxurious Tastefully Furnished Standard 3bedroom Apartment With Swimming Pool Available,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Eko Pearl Eko Atlantic Victoria Island Lagos,royalrealtors,"  200,000 ", 7FHHR,False,True,True,3,3,4,200000,2400000,73000000,2021-09-07,2023-08-11,Lagos
