title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,type,state
Brand New Shared Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,Golden Palm Estate Orchid Chevron Lekki Lagos,mando-properties, 5KBDY,True,True,False,4,4,5,800000,2023-08-30,2023-09-08,rent,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,Sangotedo Ajah Lagos,mo-global-ventures, 0KBCF,True,True,False,2,2,3,2000000,2023-08-30,2023-09-08,rent,Lagos
Spacious Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Greenville Estate Agungi Lekki Lagos,vic-tobore-properties, 4KBCC,False,False,False,1,2,2,2300000,2023-08-30,2023-09-08,rent,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,Ikota Lekki Lagos,the-property-concession-company1, 6KBAL,False,False,False,0,0,0,4000000,2023-08-29,2023-09-08,rent,Lagos
Newly Built Room Self Contain,FLAT / APARTMENT FOR RENT,Adekunle Yaba Lagos,future-pride-homes-and-properties-ltd, 1KBAM,False,False,True,4,4,4,500000,2023-08-29,2023-09-08,rent,Lagos
Commercial Duplex For Rent At Lekki Phase 1,4 BEDROOM HOUSE FOR RENT,Lekki Lagos,favour-properties-group, 7KAWJ,False,False,False,2,0,0,15000000,2023-08-28,2023-09-08,rent,Lagos
3 Bedroom Duplex,FLAT / APARTMENT FOR RENT,Millenuim Ups Gbagada Lagos,jay-realtor, 0KAWH,False,False,False,3,4,4,4000000,2023-08-28,2023-09-08,rent,Lagos
Newly Built Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Fadeyi Shomolu Lagos,adetunji-joseph1, 6KAZS,True,False,False,1,2,2,700000,2023-08-29,2023-09-08,rent,Lagos
Studio Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,Osapa London Lekki Lagos,reotah, 1KAXM,False,False,False,1,1,1,1500000,2023-08-29,2023-09-08,rent,Lagos
Modern 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"Idado Estate, Lekki Lagos",michael-emenanjor1, 5KAYK,False,False,False,4,4,5,4500000,2023-08-29,2023-09-08,rent,Lagos
Luxury 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,Orchid Road Ikota Lekki Lagos,mo-global-ventures, 8JFZS,False,False,False,2,2,3,2000000,2023-08-29,2023-09-08,rent,Lagos
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"Phase 1, Lekki Lagos",michael-emenanjor1, 8KAXC,False,False,False,2,2,3,5000000,2023-08-29,2023-09-08,rent,Lagos
Newly Built 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"Off Abiodun, Oniru Victoria Island Lagos",akinpelu-hammed, 6KAJE,True,True,False,3,3,4,7000000,2023-08-24,2023-09-08,rent,Lagos
3 Bedroom Terraced Duplex,3 BEDROOM HOUSE FOR RENT,"Victoria Crest Estate, Beside Vgc Lekki Lagos",akinpelu-hammed, 2KAJE,True,True,False,3,3,4,4500000,2023-08-24,2023-09-08,rent,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"Off Ologolo Road, Lekki Lagos",akinpelu-hammed, 2KAJC,False,False,False,4,4,5,6000000,2023-08-24,2023-09-08,rent,Lagos
Beautiful 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikota Lekki Lagos,blessing-tyohemba, 9KAST,False,False,False,3,3,3,2700000,2023-08-28,2023-09-08,rent,Lagos
"3 Bedroom Flat At Iyaganku Gra, Ibadan.",3 BEDROOM HOUSE FOR RENT,"Iyaganku Gra, Ibadan Oyo",the-castle-consulting, 5KAQQ,False,False,False,3,3,3,2000000,2023-08-26,2023-09-08,rent,Oyo
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,Olokonla Ajah Lagos,mo-global-ventures, 2KAFX,True,True,False,2,2,3,1800000,2023-08-24,2023-09-08,rent,Lagos
Newly Built 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,Orchid Hotel Road Chevron Lekki Lagos,esther_overhplus, 3KANT,True,False,False,4,4,5,4000000,2023-08-26,2023-09-08,rent,Lagos
Standard 2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,Lugbe Abuja,joak-housing, 7KANR,False,False,False,2,3,3,1200000,2023-08-26,2023-09-08,rent,Abuja
Newly Built 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,Naf Valley Estate Asokoro Abuja,shepherds-lp1, 3KAMR,True,True,False,4,4,5,7500000,2023-08-25,2023-09-08,rent,Abuja
Newly Built Room Self Contained,1 BEDROOM FLAT / APARTMENT FOR RENT,Hakeem Dickson Lekki Phase 1 Lekki Lagos,emmanuelorok, 5KAMD,True,True,True,1,1,1,1700000,2023-08-25,2023-09-08,rent,Lagos
Newly Built Room Self Contained,1 BEDROOM FLAT / APARTMENT FOR RENT,"Chisco, Kunsenla Road Ikate Lekki Lagos",emmanuelorok, 6KAMC,True,True,True,1,1,1,1000000,2023-08-25,2023-09-08,rent,Lagos
Studio Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,Osapa London Lekki Lagos,reotah, 0KALA,False,False,False,1,1,1,1500000,2023-08-25,2023-09-08,rent,Lagos
Studio Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,Osapa London Lekki Lagos,reotah, 5KAKZ,False,False,False,1,1,1,1700000,2023-08-25,2023-09-08,rent,Lagos
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Chief Bamidele Street Osapa London Lekki Lagos,reotah, 9KAKY,False,False,False,1,1,2,2000000,2023-08-25,2023-09-08,rent,Lagos
Newly Built Room Self Contained,1 BEDROOM FLAT / APARTMENT FOR RENT,Orchid Road Chevron Lekki Lagos,emmanuelorok, 7KAMB,True,True,True,1,1,1,800000,2023-08-25,2023-09-08,rent,Lagos
Event Center,COMMERCIAL PROPERTY FOR RENT,Oregun Ikeja Lagos,kehinde-atanda1, 8KALS,True,False,False,0,0,8,600000,2023-08-25,2023-09-08,rent,Lagos
"Room And Parlour Self Contained At Orogun, Ibadan.",1 BEDROOM FLAT / APARTMENT FOR RENT,Orogun Ibadan Polytechnic University Of Ibadan Ibadan Oyo,thykop-real-estate-management, 4KAJQ,True,False,False,1,1,1,450000,2023-08-24,2023-09-08,rent,Oyo
Serviced Office Space,COMMERCIAL PROPERTY FOR RENT,Lekki Epe Expressway Ikota Lekki Lagos,esther_overhplus, 9KAHM,False,True,False,0,0,0,45000,2023-08-24,2023-09-08,rent,Lagos
