title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦_yearly,date_posted,date_updated,state
Modern Self Contain,FLAT / APARTMENT FOR RENT,Alagomeji Yaba Lagos,best-choice-estate-agent, 6JJUR,True,False,False,0,0,0,500000,2023-04-29,2023-08-13 00:00:00,Lagos
Room Self Contained,COMMERCIAL PROPERTY FOR RENT,Allen Avenue Ikeja Lagos,tesambel-properties1, 3JJMY,False,False,True,0,0,0,8000000,2023-04-27,2023-08-09 00:00:00,Lagos
Office Space,COMMERCIAL PROPERTY FOR RENT,Wuse 2 Abuja,tesambel-properties1, 7JJMQ,False,False,False,0,0,0,1000000,2023-04-27,2023-08-13 00:00:00,Abuja
Office Space,FLAT / APARTMENT FOR RENT,Arepo Ogun,mando-properties, 4JJMP,True,False,False,0,0,0,1500000,2023-04-27,2023-08-09 00:00:00,Ogun
3 Bedroom Apartment,COMMERCIAL PROPERTY FOR RENT,"Ikeja Town Square, Awolowo Way Ikeja Lagos",davidproperty, 5JJMK,False,False,True,0,0,5,9450000,2023-04-27,2023-08-09 00:00:00,Lagos
61sqm Ground Floor Space,FLAT / APARTMENT FOR RENT,Fola Agoro Yaba Lagos,olayinka-sobambi, 7JJMD,False,False,False,0,0,0,500000,2023-04-27,2023-08-13 00:00:00,Lagos
A Fantastic Self Contain,COMMERCIAL PROPERTY FOR RENT,Ibafo Obafemi Owode Ogun,olayinka-sobambi, 6JJMC,True,False,False,0,0,0,12600000,2023-04-27,2023-08-13 00:00:00,Ogun
Warehouse,COMMERCIAL PROPERTY FOR RENT,"Lufuwape, Mowe Obafemi Owode Ogun",uduak-edet3, 4JJLZ,False,False,False,0,0,0,16000000,2023-04-27,2023-07-31 00:00:00,Ogun
"1,200 Sqm Warehouses",FLAT / APARTMENT FOR RENT,"General Paint, Abraham Adesanya Estate Ajah Lagos",maximuspropertyltd, 5JHWA,False,False,False,0,0,0,2000000,2023-04-27,2023-08-09 00:00:00,Lagos
Newly Built 3 Bedroom Apartment,FLAT / APARTMENT FOR RENT,Ogudu Orike Ogudu Lagos,maximuspropertyltd, 1JHWA,False,False,False,0,0,0,1800000,2023-04-22,2023-08-09 00:00:00,Lagos
"3 Bedroom Flat All Rooms Ensuite, Pop Decor Ogudu",FLAT / APARTMENT FOR RENT,Adeniyi Jones Ikeja Lagos,tos-property-services, 8JHVY,False,False,False,0,0,0,6500000,2023-04-22,2023-08-09 00:00:00,Lagos
4 Bedroom Detached Duplex With Bq,FLAT / APARTMENT FOR RENT,Aguda Surulere Lagos,city-garden-real-estate-ltd, 4JHVQ,False,False,False,0,0,0,1500000,2023-04-22,2023-08-09 00:00:00,Lagos
2 Bedroom Flat,FLAT / APARTMENT FOR RENT,Chevron Lekki Lagos,christian, 7JJUQ,False,False,False,0,0,0,1500000,2023-04-22,2023-08-09 00:00:00,Lagos
Serviced Studio Apartment,FLAT / APARTMENT FOR RENT,6th Avenue Gwarinpa Abuja,christian, 4JJUM,False,False,False,0,0,0,700000,2023-04-29,2023-08-13 00:00:00,Abuja
Room Self Contained,COMMERCIAL PROPERTY FOR RENT,Central Area Abuja,itj-realtor, 5JGLC,False,False,False,0,0,0,3800000,2023-04-29,2023-08-11 00:00:00,Abuja
Office Space,FLAT / APARTMENT FOR RENT,Alagomeji Yaba Lagos,360-degrees, 2JGLC,False,False,False,4,5,5,500000,2023-04-12,2023-08-13 00:00:00,Lagos
Room Self Contained,FLAT / APARTMENT FOR RENT,"Off Herbert Macaulay Way, Yaba, Lagos. Yaba Lagos",thykop-real-estate-management, 1JGLC,False,True,False,0,0,0,6000000,2023-04-12,2023-08-13 00:00:00,Lagos
Newly Built Room Self Contained,FLAT / APARTMENT FOR RENT,Ikate Lekki Lagos,thykop-real-estate-management, 7JJYT,False,True,False,5,5,6,6500000,2023-04-12,2023-08-13 00:00:00,Lagos
3 Bedroom Terrace Duplex,FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,megalux-homes, 5JJYK,True,False,False,4,4,5,8000000,2023-05-01,2023-08-12 00:00:00,Lagos
2 Bedroom Apartment,FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,itj-realtor, 8JJYH,False,False,False,4,4,5,2500000,2023-05-01,2023-08-09 00:00:00,Lagos
4 Bedroom Duplex,FLAT / APARTMENT FOR RENT,Oniru Estate Victoria Island Lagos,godson-homes, 7JJYD,False,False,False,4,5,5,9000000,2023-05-01,2023-08-09 00:00:00,Lagos
Serviced Miniflat,5 BEDROOM HOUSE FOR RENT,Magodo Gra Phase 2 Kosofe Ikosi Lagos,156, 5JJXZ,True,True,False,0,0,1,5000000,2023-05-01,2023-08-09 00:00:00,Lagos
Newly Built 5 Bedroom Detached Duplex With Bq,4 BEDROOM HOUSE FOR RENT,Medina Gbagada Lagos,gracealtar-homes1, 1JJXQ,True,True,False,0,0,0,3500000,2023-05-01,2023-08-09 00:00:00,Lagos
5 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR RENT,Ikota Villa Estate Lekki Lagos,330, 2JJXP,False,False,False,0,0,0,20000000,2023-05-01,2023-08-12 00:00:00,Lagos
Spacious 4 Bedroom Terrace Duplex With Bq,4 BEDROOM HOUSE FOR RENT,Adeola Odeku Victoria Island Lagos,chris-okolo, 8JKCZ,True,False,False,0,0,1,1500000,2023-05-01,2023-08-09 00:00:00,Lagos
Serviced 4 Bedroom Terrace Duplex With Bq,FLAT / APARTMENT FOR RENT,Idado Estate Lekki Lagos,330, 6JKCZ,False,False,False,0,0,0,3500000,2023-05-02,2023-08-13 00:00:00,Lagos
Master Bedroom In A Shared Apartment,COMMERCIAL PROPERTY FOR RENT,"Opebi Road, Ikeja Lagos",city-garden-real-estate-ltd, 1JKCZ,True,True,False,0,0,0,1200000,2023-05-02,2023-08-09 00:00:00,Lagos
Luxurious Mini Flat,FLAT / APARTMENT FOR RENT,Badore Ajah Lagos,joan-ama, 8JKCU,False,False,False,0,0,0,8000000,2023-05-02,2023-08-09 00:00:00,Lagos
Luxury 5 Bedroom Semi Detached Duplex,HOUSE FOR RENT,Oniru Victoria Island Lagos,okafor-maryann, 7JHHJ,True,True,False,4,4,5,6000000,2023-05-02,2023-08-09 00:00:00,Lagos
4 Bedroom Terraced Duplex + Bq,4 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,okafor-maryann, 7JHHE,False,False,False,0,0,0,600000,2023-04-18,2023-08-13 00:00:00,Lagos
Newly Built Shop,COMMERCIAL PROPERTY FOR RENT,Igbo Efon Lekki Lagos,distinct-pragmatic-limited, 7JHGS,False,False,False,0,0,0,25000000,2023-04-18,2023-08-13 00:00:00,Lagos
A Nice 520sqm Jv,LAND FOR RENT,Shangisha Magodo Gra Phase 2 Kosofe Ikosi Lagos,west-coast-multi-concept-international-services, 9JHGQ,False,True,False,0,0,0,700000,2023-04-18,2023-08-13 00:00:00,Lagos
New Built Shop Space,COMMERCIAL PROPERTY FOR RENT,"New Road, Igbo Efon Lekki Lagos",realvestandhomes, 9JHGH,False,False,False,4,4,5,350000,2023-04-18,2023-07-31 00:00:00,Lagos
Newly Built Room Self Contain,FLAT / APARTMENT FOR RENT,Akoka Yaba Lagos,nellyanipropertiesltd, 6JKCU,False,False,False,0,0,0,500000,2023-04-18,2023-08-12 00:00:00,Lagos
2 Bedroom Flat,HOUSE FOR RENT,Challenge Ibadan Oyo,nellyanipropertiesltd, 3JKCU,False,False,False,0,0,0,400000,2023-05-02,2023-08-09 00:00:00,Oyo
Beautiful Room Self Contain,FLAT / APARTMENT FOR RENT,Badore Ajah Lagos,segun, 9JKCS,True,True,False,0,0,0,800000,2023-05-02,2023-08-09 00:00:00,Lagos
Spacious Mini Flat,FLAT / APARTMENT FOR RENT,Badore Ajah Lagos,segun, 4JKCN,False,False,False,0,0,0,800000,2023-05-02,2023-07-31 00:00:00,Lagos
Beautiful Mini Flat,FLAT / APARTMENT FOR RENT,Magodo Gra Phase 1 Ojodu Lagos,segun, 5JKCJ,False,False,False,0,0,0,3500000,2023-05-02,2023-08-09 00:00:00,Lagos
Brand New 4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR RENT,"Orchid Road, Chevron Lekki Lagos",baystaraffordablehomes, 2JHGD,False,False,False,0,0,0,1400000,2023-05-02,2023-08-13 00:00:00,Lagos
