title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,state
A Block Of 4 Flat At 3 Bedroom At Alakia,HOUSE FOR SALE,Iyanan Agbala Alakia Ibadan Olasunkanmi Oyeneye Alakia Ibadan Oyo,chamanproperties, 8JYGJ,True,False,False,4,4,5,16000000,2023-08-10,2023-08-12,Oyo
2 Wings Of 4 Bedroom Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ilupeju Dolphin Estate Ikoyi Lagos,shelternestrealty, 9JYGX,False,False,False,2,3,3,440000000,2023-08-10,2023-08-12,Lagos
Land Measuring 591sqm,LAND FOR SALE,Jericho Hill Gra Ibadan Oyo,emmanuel-okafor-co, 1JYGH,True,False,False,5,6,7,45000000,2023-08-10,2023-08-12,Oyo
5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,"Ago Palace Way, Okota Isolo Lagos",emmanuel-okafor-co, 4JYGG,True,False,False,5,6,7,150000000,2023-08-10,2023-08-12,Lagos
4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Lekki Town Free Trade Zone Ibeju Lekki Lagos,kenny-map-house-and-properties, 4JYJY,False,False,False,3,3,3,3000000,2023-08-11,2023-08-12,Lagos
Land Measuring 500sqm,LAND FOR SALE,Ketu Epe Lagos,wwwolakrealtiescomabule-estate, 5JYGX,False,False,False,0,0,0,5000000,2023-08-10,2023-08-12,Lagos
5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,"Megamound Estate, Lekky County Homes Ikota Lekki Lagos",shelternestrealty, 6JYGD,True,False,False,5,6,7,330000000,2023-08-10,2023-08-12,Lagos
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Shangisha Kosofe Ikosi Lagos,dollyrealty, 3JXQU,True,False,False,5,6,6,300000000,2023-08-06,2023-08-12,Lagos
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Magodo Gra Phase 2 Kosofe Ikosi Lagos,dollyrealty, 6JXQQ,True,False,False,5,6,6,280000000,2023-08-06,2023-08-12,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Shonibare Estate Maryland Lagos,dollyrealty, 6JXQP,True,False,False,4,5,5,200000000,2023-08-06,2023-08-12,Lagos
2 Bedroom Terrace Duplex,2 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,itj-realtor, 9JXSG,True,False,True,2,3,3,45000000,2023-08-06,2023-08-12,Lagos
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Ajah Lagos,itj-realtor, 7JXSG,True,False,True,3,4,4,60000000,2023-08-06,2023-08-12,Lagos
2 Bedroom Terrace Duplex,2 BEDROOM HOUSE FOR SALE,Ajah Lagos,itj-realtor, 5JXSG,True,False,True,2,3,3,50000000,2023-08-06,2023-08-12,Lagos
4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,citymate-integrated, 3JXSG,True,False,True,4,5,5,85000000,2023-08-06,2023-08-12,Lagos
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,sylvanus-agu, 9JXSF,True,False,True,3,4,4,53000000,2023-08-06,2023-08-12,Lagos
Land Measuring 2500sqm,LAND FOR SALE,Admiralty Way Lekki Phase 1 Lekki Lagos,wendeehomes, 1JXVL,False,False,False,0,0,0,5000000,2023-08-07,2023-08-12,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Orchid Chevron Lekki Lagos,itj-realtor, 6JXSF,True,False,True,4,5,5,62000000,2023-08-06,2023-08-12,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,boldwhite-homes-logistics, 2JXSF,True,False,True,5,6,6,90000000,2023-08-06,2023-08-12,Lagos
