title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦_yearly,date_posted,date_updated,state
4 Bedroom Semi Detached Duplex With 24hrs Light,4 BEDROOM HOUSE FOR RENT,Chevron Lekki Lagos,daniel-uche-properties, 2JMYJ,True,True,False,4,4,5,4500000,2023-05-24,2023-08-02 00:00:00,Lagos
Private 230 Sqm Pent Floor Office Space,COMMERCIAL PROPERTY FOR RENT,Victoria Island Lagos,prince-ademola-osinuga, 5JMYG,False,False,False,0,0,0,8050000,2023-05-24,2023-07-31 00:00:00,Lagos
Shop Space,COMMERCIAL PROPERTY FOR RENT,Main Gwarinpa Gwarinpa Abuja,michael-christian, 2JMYG,True,False,False,0,1,1,6000000,2023-05-24,2023-07-27 00:00:00,Abuja
Serviced 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Ilasan Lekki Lagos,460, 0JMYG,True,True,False,2,2,3,4000000,2023-05-24,2023-08-02 00:00:00,Lagos
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"Treasure Garden Estate, Lekki Lagos",mushentte-properties-ltd, 5JMYF,False,True,False,4,4,5,14000000,2023-05-24,2023-07-18 00:00:00,Lagos
Standard 3 Bedroom Flat For Rent In Akala Express,3 BEDROOM FLAT / APARTMENT FOR RENT,Akala Express Ibadan Oyo,smartasset-plumbing-and-real-estate-services1, 4JMYE,False,False,False,3,4,4,400000,2023-05-24,2023-07-28 00:00:00,Oyo
Standard 2 Bedroom Flat For Rent In Unity Ologuneru,2 BEDROOM FLAT / APARTMENT FOR RENT,Unity Ologuneru Ibadan Oyo,smartasset-plumbing-and-real-estate-services1, 0JMYE,False,False,False,2,3,3,500000,2023-05-24,2023-07-28 00:00:00,Oyo
"A Standard Miniflat With 2toilets/bathrooms, Gated",FLAT / APARTMENT FOR RENT,Ogudu Lagos,afeez-ahmed-(oworo)---tpa, 9JMYD,False,False,False,0,0,0,400000,2023-05-24,2023-07-27 00:00:00,Lagos
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikate Lekki Lagos,city-garden-real-estate-ltd, 6JMYD,False,False,False,3,0,0,3500000,2023-05-24,2023-07-31 00:00:00,Lagos
Full Pop 2 Bedroom Flat For Rent In Olonde Ologuneru,2 BEDROOM FLAT / APARTMENT FOR RENT,Olonde Ologuneru Ibadan Oyo,smartasset-plumbing-and-real-estate-services1, 3JMYD,True,False,False,2,2,2,400000,2023-05-24,2023-07-28 00:00:00,Oyo
